link_id,person_id,CaseMasterID,role,source_table,source_row_id
L-00001,P-0153,1,complainant,ComplainantDetails,1
L-00002,P-0114,1,victim,Victim,1
L-00003,P-0057,1,accused,Accused,1
L-00004,P-0251,2,complainant,ComplainantDetails,2
L-00005,P-0251,2,victim,Victim,2
L-00006,P-0046,2,accused,Accused,2
L-00007,P-0235,3,complainant,ComplainantDetails,3
L-00008,P-0163,3,victim,Victim,3
L-00009,P-0032,3,accused,Accused,3
L-00010,P-0066,3,accused,Accused,4
L-00011,P-0196,4,complainant,ComplainantDetails,4
L-00012,P-0119,4,victim,Victim,4
L-00013,P-0043,4,accused,Accused,5
L-00014,P-0070,4,accused,Accused,6
L-00015,P-0097,5,complainant,ComplainantDetails,5
L-00016,P-0164,5,victim,Victim,5
L-00017,P-0129,6,complainant,ComplainantDetails,6
L-00018,P-0129,6,victim,Victim,6
L-00019,P-0063,6,accused,Accused,7
L-00020,P-0076,6,accused,Accused,8
L-00021,P-0159,7,complainant,ComplainantDetails,7
L-00022,P-0159,7,victim,Victim,7
L-00023,P-0065,7,accused,Accused,9
L-00024,P-0084,7,accused,Accused,10
L-00025,P-0249,8,complainant,ComplainantDetails,8
L-00026,P-0226,8,victim,Victim,8
L-00027,P-0325,9,complainant,ComplainantDetails,9
L-00028,P-0159,9,victim,Victim,9
L-00029,P-0119,10,complainant,ComplainantDetails,10
L-00030,P-0119,10,victim,Victim,10
L-00031,P-0043,10,accused,Accused,11
L-00032,P-0021,10,accused,Accused,12
L-00033,P-0212,11,complainant,ComplainantDetails,11
L-00034,P-0212,11,victim,Victim,11
L-00035,P-0188,12,complainant,ComplainantDetails,12
L-00036,P-0188,12,victim,Victim,12
L-00037,P-0060,12,accused,Accused,13
L-00038,P-0038,12,accused,Accused,14
L-00039,P-0248,13,complainant,ComplainantDetails,13
L-00040,P-0248,13,victim,Victim,13
L-00041,P-0067,13,accused,Accused,15
L-00042,P-0196,14,complainant,ComplainantDetails,14
L-00043,P-0196,14,victim,Victim,14
L-00044,P-0073,14,accused,Accused,16
L-00045,P-0013,14,accused,Accused,17
L-00046,P-0330,15,complainant,ComplainantDetails,15
L-00047,P-0330,15,victim,Victim,15
L-00048,P-0049,15,accused,Accused,18
L-00049,P-0039,15,accused,Accused,19
L-00050,P-0260,16,complainant,ComplainantDetails,16
L-00051,P-0260,16,victim,Victim,16
L-00052,P-0137,17,complainant,ComplainantDetails,17
L-00053,P-0137,17,victim,Victim,17
L-00054,P-0039,17,accused,Accused,20
L-00055,P-0236,18,complainant,ComplainantDetails,18
L-00056,P-0236,18,victim,Victim,18
