fir_id,fir_number,station_id,police_station,district,taluk,crime_type,ipc_sections,severity,registered_date,occurrence_date,occurrence_time,lat,lon,modus_operandi,status,io_officer,summary_text
FIR-0001,001/2024,PS-003,Peenya Police Station,Bengaluru North,Peenya,Cheating / Online Fraud,IPC 420; IPC 66D IT Act,medium,2024-07-06,2024-07-04,12:51:00,13.03342,77.51244,payment was collected for goods advertised online which were never delivered,chargesheeted,PSI Pooja Reddy,"Cheating / Online Fraud reported at Peenya, Bengaluru North on 2024-07-04: payment was collected for goods advertised online which were never delivered."
FIR-0002,002/2024,PS-010,Chittapur Police Station,Kalaburagi,Chittapur,House Burglary,IPC 454; IPC 457; IPC 380,medium,2024-12-17,2024-12-17,03:51:00,17.10733,77.10276,the grill of the ventilator was cut and gold ornaments and cash were taken,under investigation,PSI Pooja Hegde,"House Burglary reported at Chittapur, Kalaburagi on 2024-12-17: the grill of the ventilator was cut and gold ornaments and cash were taken."
FIR-0003,003/2025,PS-007,Hunsur Police Station,Mysuru,Hunsur,Robbery,IPC 392; IPC 397,high,2025-11-03,2025-11-02,05:37:00,12.29577,76.31155,the suspects threatened the complainant with a knife and took cash and a mobile phone,chargesheeted,PSI Kiran Naik,"Robbery reported at Hunsur, Mysuru on 2025-11-02: the suspects threatened the complainant with a knife and took cash and a mobile phone."
FIR-0004,004/2026,PS-010,Chittapur Police Station,Kalaburagi,Chittapur,Robbery,IPC 392; IPC 397,high,2026-03-11,2026-03-10,02:22:00,17.10486,77.06405,an armed group waylaid the complainant on a deserted stretch and robbed the collection amount,chargesheeted,PSI Imran Achar,"Robbery reported at Chittapur, Kalaburagi on 2026-03-10: an armed group waylaid the complainant on a deserted stretch and robbed the collection amount."
FIR-0005,005/2026,PS-004,RT Nagar Police Station,Bengaluru North,RT Nagar,Chain Snatching,IPC 379; IPC 356,medium,2026-04-14,2026-04-14,00:19:00,13.0282,77.59113,pillion rider snatched the mangalsutra while the complainant was walking on the footpath,chargesheeted,PSI Pooja Patil,"Chain Snatching reported at RT Nagar, Bengaluru North on 2026-04-14: pillion rider snatched the mangalsutra while the complainant was walking on the footpath."
FIR-0006,006/2024,PS-004,RT Nagar Police Station,Bengaluru North,RT Nagar,Cheating / Online Fraud,IPC 420; IPC 66D IT Act,medium,2024-12-22,2024-12-20,16:44:00,13.0064,77.57218,the suspect posed as a bank official and obtained the OTP over a phone call,under investigation,PSI Shwetha Achar,"Cheating / Online Fraud reported at RT Nagar, Bengaluru North on 2024-12-20: the suspect posed as a bank official and obtained the OTP over a phone call."
FIR-0007,007/2026,PS-005,Krishnaraja Police Station,Mysuru,Krishnaraja,House Burglary,IPC 454; IPC 457; IPC 380,medium,2026-02-25,2026-02-22,20:16:00,12.28812,76.65969,the grill of the ventilator was cut and gold ornaments and cash were taken,under investigation,PSI Manjunath Reddy,"House Burglary reported at Krishnaraja, Mysuru on 2026-02-22: the grill of the ventilator was cut and gold ornaments and cash were taken."
FIR-0008,008/2025,PS-001,Yelahanka Police Station,Bengaluru North,Yelahanka,Cheating / Online Fraud,IPC 420; IPC 66D IT Act,medium,2025-11-22,2025-11-21,10:20:00,13.09872,77.574,payment was collected for goods advertised online which were never delivered,under investigation,PSI Manjunath Desai,"Cheating / Online Fraud reported at Yelahanka, Bengaluru North on 2025-11-21: payment was collected for goods advertised online which were never delivered."
FIR-0009,009/2025,PS-004,RT Nagar Police Station,Bengaluru North,RT Nagar,Vehicle Theft,IPC 379,low,2025-01-05,2025-01-02,22:40:00,12.99982,77.58969,the vehicle was taken from an unattended parking lot after the steering lock was broken,chargesheeted,PSI Santhosh Kamath,"Vehicle Theft reported at RT Nagar, Bengaluru North on 2025-01-02: the vehicle was taken from an unattended parking lot after the steering lock was broken."
FIR-0010,010/2024,PS-010,Chittapur Police Station,Kalaburagi,Chittapur,Assault / Hurt,IPC 323; IPC 324,low,2024-07-11,2024-07-08,02:56:00,17.1293,77.06932,the accused caused hurt with a wooden club following a prior enmity,chargesheeted,PSI Chetan Bhat,"Assault / Hurt reported at Chittapur, Kalaburagi on 2024-07-08: the accused caused hurt with a wooden club following a prior enmity."
FIR-0011,011/2026,PS-007,Hunsur Police Station,Mysuru,Hunsur,Narcotics (NDPS),NDPS 20; NDPS 22,high,2026-01-14,2026-01-12,01:11:00,12.32223,76.27382,the accused was found in possession of contraband during a vehicle check at a checkpost,chargesheeted,PSI Lakshmi Swamy,"Narcotics (NDPS) reported at Hunsur, Mysuru on 2026-01-12: the accused was found in possession of contraband during a vehicle check at a checkpost."
FIR-0012,012/2025,PS-008,Kalaburagi City Police Station,Kalaburagi,Kalaburagi City,Robbery,IPC 392; IPC 397,high,2025-06-02,2025-06-01,04:33:00,17.32309,76.84124,an armed group waylaid the complainant on a deserted stretch and robbed the collection amount,chargesheeted,PSI Imran Bhat,"Robbery reported at Kalaburagi City, Kalaburagi on 2025-06-01: an armed group waylaid the complainant on a deserted stretch and robbed the collection amount."
FIR-0013,013/2025,PS-008,Kalaburagi City Police Station,Kalaburagi,Kalaburagi City,Cheating / Online Fraud,IPC 420; IPC 66D IT Act,medium,2025-12-13,2025-12-12,08:09:00,17.3261,76.83521,the suspect posed as a bank official and obtained the OTP over a phone call,chargesheeted,PSI Naveen Rao,"Cheating / Online Fraud reported at Kalaburagi City, Kalaburagi on 2025-12-12: the suspect posed as a bank official and obtained the OTP over a phone call."
FIR-0014,014/2026,PS-007,Hunsur Police Station,Mysuru,Hunsur,Vehicle Theft,IPC 379,low,2026-04-19,2026-04-17,06:37:00,12.2846,76.284,the motorcycle parked outside the residence was stolen during the night,under investigation,PSI Harish Murthy,"Vehicle Theft reported at Hunsur, Mysuru on 2026-04-17: the motorcycle parked outside the residence was stolen during the night."
FIR-0015,015/2026,PS-010,Chittapur Police Station,Kalaburagi,Chittapur,Cheating / Online Fraud,IPC 420; IPC 66D IT Act,medium,2026-01-26,2026-01-26,11:57:00,17.1196,77.08457,the complainant was induced to transfer money on the promise of a part-time job,under investigation,PSI Rakesh Pujari,"Cheating / Online Fraud reported at Chittapur, Kalaburagi on 2026-01-26: the complainant was induced to transfer money on the promise of a part-time job."
FIR-0016,016/2026,PS-001,Yelahanka Police Station,Bengaluru North,Yelahanka,House Burglary,IPC 454; IPC 457; IPC 380,medium,2026-02-17,2026-02-15,22:04:00,13.08161,77.61665,the lock of the main door was broken open while the house was locked and the family was away,under investigation,PSI Mahesh Bhat,"House Burglary reported at Yelahanka, Bengaluru North on 2026-02-15: the lock of the main door was broken open while the house was locked and the family was away."
FIR-0017,017/2024,PS-001,Yelahanka Police Station,Bengaluru North,Yelahanka,Robbery,IPC 392; IPC 397,high,2024-08-22,2024-08-22,01:37:00,13.09346,77.57612,an armed group waylaid the complainant on a deserted stretch and robbed the collection amount,under investigation,PSI Santhosh Swamy,"Robbery reported at Yelahanka, Bengaluru North on 2024-08-22: an armed group waylaid the complainant on a deserted stretch and robbed the collection amount."
